X,Y,VX,VY
1.141888327710907E+08,9.485512830281515E+07,-1.952811412348275E+01,2.281038360361775E+01
1.124843196852857E+08,9.681139475347693E+07,-1.992719399470728E+01,2.247231376384845E+01
1.107455917779901E+08,9.873813091113281E+07,-2.032008927363104E+01,2.212684146416338E+01
1.089731921584731E+08,1.006347051225489E+08,-2.070659971584544E+01,2.177415326790302E+01
1.071676805260521E+08,1.025005026768429E+08,-2.108654213295804E+01,2.141445457738748E+01
1.053296315396778E+08,1.043349273735934E+08,-2.145975406597887E+01,2.104796822312093E+01
1.034596328496912E+08,1.061374029595989E+08,-2.182609804196882E+01,2.067493279865104E+01
1.015582827120697E+08,1.079073743928754E+08,-2.218546708411699E+01,2.029560016468621E+01
9.962618705820498E+07,1.096443088077508E+08,-2.253779179064901E+01,1.991023072426121E+01
9.766395590823448E+07,1.113476959021081E+08,-2.288304817846501E+01,1.951908440169553E+01
9.567219916341954E+07,1.130170472871713E+08,-2.322126357368433E+01,1.912240542337715E+01
9.365152214109507E+07,1.146518942422335E+08,-2.355251575265045E+01,1.872040088617091E+01
9.160252167331044E+07,1.162517834741249E+08,-2.387691998330642E+01,1.831321706999195E+01
8.952578394904543E+07,1.178162710268359E+08,-2.419460175853220E+01,1.790092200078854E+01
8.742188518307206E+07,1.193449153176520E+08,-2.450566014686997E+01,1.748350408214095E+01
8.529139543698756E+07,1.208372709461009E+08,-2.481013382883287E+01,1.706089132366429E+01
8.313488477639093E+07,1.222928848911578E+08,-2.510798271944144E+01,1.663298564708978E+01
8.095293010881007E+07,1.237112958643773E+08,-2.539909058797470E+01,1.619969925354691E+01
7.874612103261824E+07,1.250920364324146E+08,-2.568328384568510E+01,1.576098082608189E+01
7.651506373315525E+07,1.264346367560192E+08,-2.596035617401266E+01,1.531682662984094E+01
7.426038283837709E+07,1.277386287060078E+08,-2.623008999369808E+01,1.486727896927333E+01
7.198272172641321E+07,1.290035495061648E+08,-2.649227053234891E+01,1.441241778775849E+01
